Face_Index,Vertex_Coordinates,Red,Green,Blue
67,"(-2.485414, 0.011879, 16.538956); (-2.453145, 0.209145, 16.686287); (-2.720368, 0.292397, 16.685879); (-2.735459, 0.094421, 16.506384)",0.8,0.8,0.8
68,"(1.192919, 9.912132, -5.242075); (1.126019, 10.192528, -5.235348); (1.197134, 10.20507, -4.952896); (1.279655, 9.926498, -4.959202)",0.8,0.8,0.8
69,"(1.192919, 9.912132, -5.242075); (1.078985, 9.897881, -5.514695); (1.013202, 10.176003, -5.503773); (1.126019, 10.192528, -5.235348)",0.8,0.8,0.8
70,"(1.272072, 9.632576, -5.255826); (1.192919, 9.912132, -5.242075); (1.279655, 9.926498, -4.959202); (1.365355, 9.646469, -4.969294)",0.8,0.8,0.8
71,"(1.422185, 9.656342, -4.670665); (1.365355, 9.646469, -4.969294); (1.279655, 9.926498, -4.959202); (1.330296, 9.936272, -4.666808)",0.8,0.8,0.8
72,"(1.272072, 9.632576, -5.255826); (1.133301, 9.615776, -5.522678); (1.078985, 9.897881, -5.514695); (1.192919, 9.912132, -5.242075)",0.8,0.8,0.8
73,"(1.272072, 9.632576, -5.255826); (1.365355, 9.646469, -4.969294); (1.449811, 9.363815, -4.983076); (1.342427, 9.350792, -5.273667)",0.8,0.8,0.8
74,"(2.254881, 0.629311, 14.057473); (2.254819, 0.466194, 14.286436); (2.28477, 0.237129, 14.127435); (2.267255, 0.399902, 13.899086)",0.8,0.8,0.8
75,"(2.221453, -0.141426, 14.198553); (2.227028, -0.005913, 13.95544); (2.28477, 0.237129, 14.127435); (2.285269, 0.088577, 14.368643)",0.8,0.8,0.8
76,"(2.261372, 0.316002, 14.517283); (2.285269, 0.088577, 14.368643); (2.28477, 0.237129, 14.127435); (2.254819, 0.466194, 14.286436)",0.8,0.8,0.8
77,"(2.195129, 0.157478, 13.736723); (2.267255, 0.399902, 13.899086); (2.28477, 0.237129, 14.127435); (2.227028, -0.005913, 13.95544)",0.8,0.8,0.8
78,"(2.111375, 0.655304, 14.420515); (2.254819, 0.466194, 14.286436); (2.254881, 0.629311, 14.057473); (2.131645, 0.827835, 14.19864)",0.8,0.8,0.8
79,"(1.879026, 0.789398, 14.517947); (1.625184, 0.88266, 14.588478); (1.626998, 0.767975, 14.860492); (1.871349, 0.642616, 14.750625)",0.8,0.8,0.8
80,"(1.840141, 0.449806, 14.936151); (1.871349, 0.642616, 14.750625); (1.626998, 0.767975, 14.860492); (1.589606, 0.527107, 15.014768)",0.8,0.8,0.8
81,"(1.626998, 0.767975, 14.860492); (1.625184, 0.88266, 14.588478); (1.347944, 0.884163, 14.578246); (1.339806, 0.742279, 14.821918)",0.8,0.8,0.8
82,"(1.879026, 0.789398, 14.517947); (2.111375, 0.655304, 14.420515); (2.131645, 0.827835, 14.19864); (1.89628, 0.954887, 14.286222)",0.8,0.8,0.8
83,"(1.629752, 1.028793, 14.337092); (1.625184, 0.88266, 14.588478); (1.879026, 0.789398, 14.517947); (1.89628, 0.954887, 14.286222)",0.8,0.8,0.8
